timestamp_utc,rss_mb,vms_mb,tracemalloc_current_kb,tracemalloc_peak_kb,gc_counts
2026-01-27T02:32:12.421922,206.88,864.43,198.9,199.5,"(420, 0, 3)"
2026-01-27T02:32:17.821673,620.11,1349.72,95311.9,170075.3,"(121, 11, 6)"
2026-01-27T02:32:22.859523,714.83,1444.38,193338.4,200956.4,"(1662, 11, 6)"
2026-01-27T02:32:27.866893,715.05,1444.58,193686.3,200956.4,"(1319, 11, 6)"
2026-01-27T02:32:33.278356,760.50,1490.12,236794.7,249937.4,"(695, 11, 6)"
2026-01-27T02:32:38.281428,579.86,1309.34,40709.5,351493.4,"(28, 1, 0)"
2026-01-27T02:32:43.282163,579.86,1309.34,40709.9,351493.4,"(37, 1, 0)"
2026-01-27T02:32:48.284596,579.86,1309.34,40710.4,351493.4,"(47, 1, 0)"
2026-01-27T02:32:53.285262,579.79,1309.22,40710.9,351493.4,"(56, 1, 0)"
2026-01-27T02:32:58.286414,579.79,1309.22,40711.2,351493.4,"(61, 1, 0)"
2026-01-27T02:33:03.287232,579.79,1309.22,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:33:08.287665,579.79,1309.22,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:33:13.288472,579.28,1309.22,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:33:18.289114,579.28,1309.22,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:33:23.289782,579.28,1309.22,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:33:28.290381,579.28,1309.22,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:33:33.291036,579.28,1309.22,40708.9,351493.4,"(44, 1, 0)"
2026-01-27T02:33:38.291588,579.28,1309.22,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:33:43.292413,579.28,1309.22,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:33:48.293382,579.28,1309.22,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:33:53.294227,579.28,1309.22,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:33:58.295171,579.27,1309.19,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:34:03.296230,579.27,1309.19,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:34:08.297230,579.23,1309.12,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:34:13.298017,579.23,1309.12,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:34:18.299082,579.23,1309.12,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:34:23.299810,579.23,1309.12,40711.1,351493.4,"(61, 1, 0)"
2026-01-27T02:34:28.300464,579.24,1309.12,40691.7,351493.4,"(23, 1, 0)"
2026-01-27T02:34:33.300944,579.24,1309.12,40681.8,351493.4,"(23, 1, 0)"
2026-01-27T02:34:38.301794,579.24,1309.12,40681.8,351493.4,"(23, 1, 0)"
2026-01-27T02:34:43.302561,579.24,1309.12,40681.8,351493.4,"(23, 1, 0)"
2026-01-27T02:34:48.303404,579.24,1309.12,40681.8,351493.4,"(23, 1, 0)"
2026-01-27T02:34:53.304180,579.24,1309.12,40681.8,351493.4,"(23, 1, 0)"
2026-01-27T02:34:58.304771,579.24,1309.12,40681.8,351493.4,"(23, 1, 0)"
2026-01-27T02:35:03.305817,579.24,1309.12,40681.8,351493.4,"(23, 1, 0)"
2026-01-27T02:35:08.306856,579.24,1309.12,40681.8,351493.4,"(23, 1, 0)"
2026-01-27T02:35:13.307510,579.24,1309.12,40681.8,351493.4,"(23, 1, 0)"
2026-01-27T02:35:18.308310,579.24,1309.12,40681.8,351493.4,"(23, 1, 0)"
2026-01-27T02:35:23.309041,579.24,1309.12,40681.8,351493.4,"(23, 1, 0)"
2026-01-27T02:35:28.309519,579.24,1309.12,40681.8,351493.4,"(23, 1, 0)"
2026-01-27T02:35:33.310444,579.24,1309.12,40678.8,351493.4,"(23, 1, 0)"
2026-01-27T02:35:38.311128,579.24,1309.12,40678.8,351493.4,"(23, 1, 0)"
2026-01-27T02:35:43.311878,579.24,1309.12,40678.8,351493.4,"(23, 1, 0)"
