column,missing_count,missing_pct,critical
pattern,603053,95.58448021987253,False
sex_rest,560193,88.7911290181975,False
course_detail,558602,88.53895398875594,False
hg,420846,66.70449556276559,False
prize,273880,43.41024328312551,False
rating_band,189183,29.985687363193858,False
draw,656,0.1039766306182647,False
going,11,0.0017435105743916338,False
surface,11,0.0017435105743916338,True
dec,1,0.00015850096130833033,False
