date,course,race_name,race_time,horse,horse_norm,market_odds,market_odds_fractional,source_file
2026-05-10,Aqueduct,99MTP,1:10p,Blue Roof Beau,blue roof beau,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:10p,Rocolino,rocolino,21.0,20/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:10p,Bye for Now,bye for now,5.5,9/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:10p,Prospector,prospector,3.5,5/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:10p,Big Fat Goalie,big fat goalie,4.5,7/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:10p,Hurricane Kaz,hurricane kaz,5.0,4/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:10p,Bossofeverything,bossofeverything,11.0,10/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:38p,Sheriff Bianco,sheriff bianco,5.5,9/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:38p,Looms Boldly,looms boldly,5.0,4/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:38p,Shared Success,shared success,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:38p,Spirit Dragon,spirit dragon,6.0,5/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:38p,Jackson Heights,jackson heights,7.0,6/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:38p,Remi's Moon,remi's moon,3.0,2/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,Anderman,anderman,9.0,8/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,Liam's Legacy,liam's legacy,6.0,5/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,King Farro,king farro,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,Sfumato,sfumato,5.0,4/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,Mo Curls,mo curls,11.0,10/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,Judge Boushay,judge boushay,3.5,5/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,Tricky Business,tricky business,5.5,9/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,River Ride,river ride,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Chartist,chartist,4.5,7/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Right Timing,right timing,3.0,2/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Jordan's Love,jordan's love,6.0,5/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Quadrate,quadrate,9.0,8/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Prairie Princess,prairie princess,7.0,6/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Truda,truda,21.0,20/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Prime Connection,prime connection,13.0,12/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Run Wild,run wild,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:07p,P Mutter Pickle,p mutter pickle,3.5,5/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:07p,Snide,snide,3.0,2/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:07p,Lika Rolling Stone,lika rolling stone,7.0,6/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:07p,Pistol Liz Ablazen,pistol liz ablazen,11.0,10/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:07p,Point of Reference,point of reference,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:07p,Brunch With Amy,brunch with amy,5.5,9/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Asked and Answered,asked and answered,21.0,20/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Coordinator,coordinator,2.6,8/5,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Donegal Time,donegal time,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Dynadee,dynadee,16.0,15/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Democracy Defender,democracy defender,7.0,6/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,C J Star,c j star,5.5,9/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Ovechkin,ovechkin,13.0,12/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Glavine,glavine,7.0,6/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Fess,fess,16.0,15/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Moon On Fire,moon on fire,16.0,15/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Stream It,stream it,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Copious,copious,5.0,4/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Pauillac,pauillac,3.0,2/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:09p,Bold Strength,bold strength,3.5,5/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:09p,Jimmy's Dailys,jimmy's dailys,7.0,6/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:09p,Fiddling Felix,fiddling felix,13.0,12/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:09p,Fort Nelson,fort nelson,11.0,10/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:09p,I'm Ready to Go,i'm ready to go,2.6,8/5,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:09p,Brazenly,brazenly,9.0,8/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:09p,Sansone,sansone,5.5,9/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:40p,Senegal,senegal,7.0,6/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:40p,Hey Toby,hey toby,11.0,10/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:40p,Who's Your Zaddy,who's your zaddy,7.0,6/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:40p,Tarpaulin,tarpaulin,13.0,12/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:40p,Max Money,max money,3.5,5/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:40p,Stickupwithoutagun,stickupwithoutagun,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:40p,Corvus,corvus,13.0,12/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:40p,Kaz Oil Changer,kaz oil changer,9.0,8/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,4:40p,Mad Banker,mad banker,9.0,8/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,Inspeightofcharlie,inspeightofcharlie,4.5,7/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,Six Fortyfive,six fortyfive,9.0,8/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,McDiesel,mcdiesel,31.0,30/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,Ortus,ortus,9.0,8/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,A Little At First,a little at first,7.0,6/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,Unfair,unfair,16.0,15/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,Tim and Sam,tim and sam,11.0,10/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,Solo Empire,solo empire,51.0,50/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,Jack's World,jack's world,6.0,5/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,Just for Luck,just for luck,5.5,9/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,Chummers,chummers,31.0,30/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,Lachaise,lachaise,9.0,8/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,Calling Card,calling card,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,5:11p,Love Coin,love coin,3.0,2/1,us_racecards_2026-05-10.json
2026-05-11,Finger Lakes,Starter Optional Claiming 5f,16:55,Olazabal,olazabal,3.5,5/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Starter Optional Claiming 5f,16:55,Anointed Spirit,anointed spirit,11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Starter Optional Claiming 5f,16:55,Saybrook,saybrook,6.0,5/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Starter Optional Claiming 5f,16:55,East Coast Girl,east coast girl,4.0,3/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Starter Optional Claiming 5f,16:55,Keigs,keigs,4.5,7/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Starter Optional Claiming 5f,16:55,Allure Of Money,allure of money,7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Starter Optional Claiming 5f,16:55,Fighter Kite,fighter kite,9.0,8/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Special Weight 5f,17:24,Solo Flight,solo flight,11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Special Weight 5f,17:24,Lord King,lord king,2.6,8/5,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Special Weight 5f,17:24,Captain Zane,captain zane,5.0,4/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Special Weight 5f,17:24,No Filter,no filter,3.0,2/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Special Weight 5f,17:24,Plex,plex,9.0,8/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Special Weight 5f,17:24,Milkshake,milkshake,7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,17:53,Magic Beach,magic beach,5.0,4/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,17:53,Rockinmoney,rockinmoney,3.5,5/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,17:53,Savage State,savage state,4.0,3/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,17:53,Dio Double Gee,dio double gee,4.5,7/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,17:53,Luceo Non Uro,luceo non uro,9.0,8/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,17:53,Montauk Memoirs,montauk memoirs,6.0,5/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Special Weight 5f,18:22,Ride Share,ride share,6.0,5/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Special Weight 5f,18:22,Wisecracker,wisecracker,4.5,7/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Special Weight 5f,18:22,Royal Zorro,royal zorro,7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Special Weight 5f,18:22,Coach Pitino,coach pitino,3.5,5/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Special Weight 5f,18:22,Propitious,propitious,4.0,3/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Special Weight 5f,18:22,Gallant Creek,gallant creek,5.0,4/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Claiming 5f,18:51,Joe G Twentythree,joe g twentythree,4.0,3/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Claiming 5f,18:51,Renaissance Man,renaissance man,6.0,5/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Claiming 5f,18:51,Hoity Moroni,hoity moroni,4.5,7/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Claiming 5f,18:51,A Bit Raggity,a bit raggity,13.0,12/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Claiming 5f,18:51,Minister Of Magic,minister of magic,6.0,5/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Claiming 5f,18:51,Runaway Roscoe,runaway roscoe,7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Claiming 5f,18:51,Honor For Mandin,honor for mandin,16.0,15/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Claiming 5f,18:51,Midnight Musume,midnight musume,7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Maiden Claiming 5f,18:51,Chicago Charlie,chicago charlie,21.0,20/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5f,19:20,Nightmissio,nightmissio,6.0,5/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5f,19:20,Messi The Magician,messi the magician,4.5,7/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5f,19:20,Tapizar's Temper,tapizar's temper,5.5,9/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5f,19:20,Henry's Hope,henry's hope,3.5,5/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5f,19:20,It's Not Over Yet,it's not over yet,11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5f,19:20,Ol' Nelson,ol' nelson,11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5f,19:20,Scales Of Gold,scales of gold,4.0,3/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,19:49,Moon Gate,moon gate,4.5,7/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,19:49,Valentine Gift,valentine gift,7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,19:49,Giuliana's Dream,giuliana's dream,4.0,3/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,19:49,Mia Nipotina,mia nipotina,13.0,12/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,19:49,Eddie Marie,eddie marie,6.0,5/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,19:49,Bellacose,bellacose,5.0,4/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,19:49,Shaman Princess,shaman princess,6.0,5/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Allowance 5f,19:49,Call Me Penny,call me penny,16.0,15/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5.5f,20:18,Profitability,profitability,4.5,7/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5.5f,20:18,Swedish Candy,swedish candy,6.0,5/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5.5f,20:18,Tap It Easy,tap it easy,21.0,20/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5.5f,20:18,Addyson's Dream,addyson's dream,16.0,15/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5.5f,20:18,Real Eleve,real eleve,4.0,3/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5.5f,20:18,Redoubtableripken,redoubtableripken,7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5.5f,20:18,Painting Stones,painting stones,3.5,5/2,us_racecards_2026-05-11.json
2026-05-11,Finger Lakes,Claiming 5.5f,20:18,Support The Cat,support the cat,13.0,12/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,19:00,Soraila (Chi),soraila (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,19:00,Justinsito Crack (Chi),justinsito crack (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,19:00,Afirmate Gato (Chi),afirmate gato (chi),2.5,3/2,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,19:00,King Paper (Chi),king paper (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,19:00,Sasuke (Chi),sasuke (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,19:00,Sundy Point (Chi),sundy point (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,19:00,Sin Miedo (Chi),sin miedo (chi),7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,19:00,Big Wallace (Arg),big wallace (arg),9.0,8/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,19:00,Watakin (Chi),watakin (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,19:00,Mipipo (Chi),mipipo (chi),5.0,4/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,19:00,Modelo Del Salto (Chi),modelo del salto (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,19:30,Tuyarak (Chi),tuyarak (chi),5.0,4/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,19:30,La Pela (Chi),la pela (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,19:30,Di Luna (Chi),di luna (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,19:30,Pazzelle (Chi),pazzelle (chi),2.5,3/2,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,19:30,Senor Seremi (Chi),senor seremi (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,19:30,Wamray (Chi),wamray (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,19:30,Trois Plumes (Chi),trois plumes (chi),7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,19:30,Gran Romano (Chi),gran romano (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,19:30,Yuliecita Crack (Chi),yuliecita crack (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,19:30,Rezagado (Chi),rezagado (chi),9.0,8/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,20:00,Aunt Mercy (Chi),aunt mercy (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,20:00,Alto Forever (Chi),alto forever (chi),5.0,4/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,20:00,Jerusa (Chi),jerusa (chi),7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,20:00,King Octopus (Chi),king octopus (chi),2.5,3/2,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,20:00,Guapa Portena (Chi),guapa portena (chi),9.0,8/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,20:00,Poor Smell (Chi),poor smell (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,20:00,Ouro (Chi),ouro (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,20:00,Oppa (Chi),oppa (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,20:00,Tren De La Quinta (Chi),tren de la quinta (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1000mtr,20:00,La Tote (Chi),la tote (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Stakes 1200mtr,20:30,Ley Franca (Chi),ley franca (chi),7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Stakes 1200mtr,20:30,Trabalains (Chi),trabalains (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Stakes 1200mtr,20:30,Fafifo (Chi),fafifo (chi),13.0,12/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Stakes 1200mtr,20:30,Cuando Vuelves (Chi),cuando vuelves (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Stakes 1200mtr,20:30,La Fajita (Chi),la fajita (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Stakes 1200mtr,20:30,Naipur Raider (Chi),naipur raider (chi),5.0,4/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Stakes 1200mtr,20:30,La Minions (Chi),la minions (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Stakes 1200mtr,20:30,Lamotta (Chi),lamotta (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Stakes 1200mtr,20:30,Zheng Shi (Chi),zheng shi (chi),9.0,8/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Stakes 1200mtr,20:30,El Lado Be (Chi),el lado be (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Stakes 1200mtr,20:30,Flaca Dany (Chi),flaca dany (chi),2.5,3/2,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Stakes 1200mtr,20:30,Pirata Bigoton (Chi),pirata bigoton (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Maiden Special 1000mtr,21:00,Victory Queen (Chi),victory queen (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Maiden Special 1000mtr,21:00,Katie Melua (Chi),katie melua (chi),7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Maiden Special 1000mtr,21:00,Espera Un Poquito (Chi),espera un poquito (chi),5.0,4/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Maiden Special 1000mtr,21:00,La Luna De Todos (Chi),la luna de todos (chi),9.0,8/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Maiden Special 1000mtr,21:00,Sestri Levante (Chi),sestri levante (chi),9.0,8/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Maiden Special 1000mtr,21:00,Videl (Chi),videl (chi),2.5,3/2,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Maiden Special 1000mtr,21:00,Sky Prize (Chi),sky prize (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Maiden Special 1000mtr,21:00,Guapa Quitena (Chi),guapa quitena (chi),11.0,10/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,21:30,Pegasus Fantasis (Chi),pegasus fantasis (chi),5.0,4/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,21:30,Parsifal (Chi),parsifal (chi),7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,21:30,Doppler (Chi),doppler (chi),2.5,3/2,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,21:30,El Gran Pirata (Chi),el gran pirata (chi),5.0,4/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,21:30,Larrykane (Chi),larrykane (chi),9.0,8/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,21:30,Sol De Troya (Chi),sol de troya (chi),7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,22:00,Rojo Burgues (Chi),rojo burgues (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,22:00,Warrior Spirit (Chi),warrior spirit (chi),7.0,6/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,22:00,Green Dress (Chi),green dress (chi),9.0,8/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,22:00,Dale Flaca (Chi),dale flaca (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,22:00,La Banda Verde (Chi),la banda verde (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,22:00,Teruka (Chi),teruka (chi),31.0,30/1,us_racecards_2026-05-11.json
2026-05-11,CL - Valparaiso Sporting Club (simulcast),Handicap 1100mtr,22:00,Luiverar (Chi),luiverar (chi),31.0,30/1,us_racecards_2026-05-11.json
