track_code,track_name,race_date,race_number,race_time,race_name,race_class,surface,distance,purse,program_number,runner_name,jockey,trainer,ml_odds,scratched,breed,source_name,source_url,fetched_at,parser_version,sire,dam,dam_sire,age,sex,owner,weight,current_odds,current_odds_decimal,ml_odds_decimal,race_id,post_time_utc,num_runners
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",1,Grey Power,Ortega Cesar,Raudales Jose,8/5,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:01.608308,1.0.0,Grazen,Sheza Eyeopener,Grand Reward,4,G,Jose Raudales,125,1/2,1.5,2.6,LA-1,2026-05-11T00:49:47Z,7
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",2,Rachel's Gig,Monroy Francisco,Ruvalcaba Alberto,10/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:01.608329,1.0.0,Gig Harbor,Rachels Belle,Perfect Mandate,4,C,Timothy Francis O'Leary,125,33/1,34.0,11.0,LA-1,2026-05-11T00:49:47Z,7
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",3,T One D Flour Free,Flores Pedro,Gonzalez Felix L,7/2,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:01.608339,1.0.0,Dosificado (Chi),Rich Knows Rich,Medaglia D'oro,5,H,Tomas Urbina,125,10/1,11.0,4.5,LA-1,2026-05-11T00:49:47Z,7
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",4,Lucky's Loaded,Payeras Edgar,Tamayo Isidro,6/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:01.608349,1.0.0,I'm Lock N Load,Blue's Lucky Girl,Lucky Pulpit,5,G,Carol Anderson,125,9/2,5.5,7.0,LA-1,2026-05-11T00:49:47Z,7
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",5,Twilight Moon,Vargas Salvador R,Berman Eric,15/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:01.608355,1.0.0,Clubhouse Ride,Moonlight Caper,Malibu Moon,5,G,Eric Berman or Darren Johnson,120,24/1,25.0,16.0,LA-1,2026-05-11T00:49:47Z,7
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",6,The Great G,Herrera Cristobal,Stortz Marcia,5/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:01.608362,1.0.0,Stay Thirsty,Western Engagement,Gone West,3,R,George F. Schmitt Sr.,122,8/1,9.0,6.0,LA-1,2026-05-11T00:49:47Z,7
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",7,Beau's Charm,Ramirez Ricardo S,Morfin Sergio,4/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:01.608367,1.0.0,Lotsa Mischief,Camille,Rocky Bar,5,G,"Sergio Morfin Racing Stable, Inc.",125,6/1,7.0,5.0,LA-1,2026-05-11T00:49:47Z,7
LA,Los Alamitos Quarter Horse,2026-05-10,2,01:13,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",1,Fire Ile,Payeras Edgar,Dial Troy,3/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:01.608385,1.0.0,City Of Light,Yes It's Jackie,Yes It's True,3,F,Troy Dial,122,3/1,4.0,4.0,LA-2,2026-05-11T01:13:19Z,7
LA,Los Alamitos Quarter Horse,2026-05-10,2,01:13,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",2,Lady Victoria,Cruz Damian D,Aquino Angela M,10/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:01.608391,1.0.0,Sir Prancealot (Ire),Weekfair (Fr),Stormy River (Fr),3,F,Angela Aquino,122,12/1,13.0,11.0,LA-2,2026-05-11T01:13:19Z,7
LA,Los Alamitos Quarter Horse,2026-05-10,2,01:13,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",3,Only Reputation,Escobedo Adrian,Hanson Ryan,6/5,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:01.608396,1.0.0,Sir Prancealot (Ire),Vida Bonita,Midnight Lute,5,M,"Rancho San Miguel, Hanson, Michelle and Hanson, Ryan",125,3/5,1.6,2.2,LA-2,2026-05-11T01:13:19Z,7
