Course,Horses,MultiCourseHorses,PctMulti
Doncaster,11820,3626,30.7
Newmarket,10254,3626,35.4
Southwell,0,0,0.0
Wolverhampton,0,0,0.0
Newcastle,0,0,0.0
Lingfield Park,0,0,0.0
Kempton Park,0,0,0.0
Chelmsford City,0,0,0.0
Newbury,0,0,0.0
Chepstow,0,0,0.0
