horse,num_top10_courses,course
Firnas (GB),1,Newmarket
First Ambition (GB),1,Doncaster
First Approach (IRE),1,Newmarket
First Blood (IRE),1,Doncaster
First Bombardment (GB),1,Doncaster
First Breath (GB),1,Doncaster
First Charge (IRE),1,Doncaster
First Company (IRE),1,Newmarket
First Conquest (GB),1,Newmarket
First Contact (IRE),2,"Doncaster, Newmarket"
First Dance (IRE),2,"Doncaster, Newmarket"
First Edition (IRE),1,Newmarket
First Emperor (GB),1,Newmarket
First Excel (GB),1,Doncaster
First Flight (IRE),2,"Doncaster, Newmarket"
First Folio (GB),2,"Doncaster, Newmarket"
First Greyed (IRE),1,Doncaster
First In Line (GB),2,"Doncaster, Newmarket"
First Instinct (GB),1,Newmarket
First Kingdom (IRE),1,Newmarket
First Light (GB),1,Doncaster
First Mohican (GB),2,"Doncaster, Newmarket"
First Nation (GB),2,"Doncaster, Newmarket"
First Officer (IRE),2,"Doncaster, Newmarket"
First Principle (GB),1,Doncaster
First Quest (USA),1,Newmarket
First Response (GB),1,Doncaster
First Ruler (GB),2,"Doncaster, Newmarket"
First Sargeant (GB),1,Doncaster
First Selection (SPA),1,Newmarket
First Sitting (GB),2,"Doncaster, Newmarket"
First To Post (IRE),1,Newmarket
First Victory (IRE),1,Newmarket
First View (IRE),1,Newmarket
First Voyage (IRE),1,Doncaster
First Wheat (GB),1,Doncaster
First Winter (IRE),2,"Doncaster, Newmarket"
Firstman (FR),1,Newmarket
Fiscal Policy (IRE),1,Newmarket
Fishable (GB),1,Doncaster
Fisher Green (IRE),1,Doncaster
Fishermans Blues (IRE),1,Doncaster
Fistral Beach (IRE),1,Doncaster
Fitz Perfectly (FR),1,Newmarket
Fitzella (GB),1,Newmarket
Fitzrovia (GB),1,Doncaster
Fitzy (GB),1,Doncaster
Five Helmets (IRE),1,Newmarket
Five Stars (GB),1,Newmarket
Five Towns (GB),1,Newmarket
Five Ways (GB),1,Newmarket
Five Winds (GB),1,Doncaster
Fivehundredmiles (IRE),1,Doncaster
Fivethousandtoone (IRE),2,"Doncaster, Newmarket"
Fixated (FR),1,Doncaster
Flaccianello (IRE),1,Doncaster
Flag Carrier (IRE),2,"Doncaster, Newmarket"
Flag Of Glory (GB),1,Doncaster
Flag Of Honour (IRE),1,Newmarket
Flag Of Love (IRE),1,Doncaster
Flag Of St George (IRE),2,"Doncaster, Newmarket"
Flambeuse (GB),1,Newmarket
Flame And Fortune (IRE),1,Doncaster
Flame Of Forest (IRE),1,Doncaster
Flame Of Freedom (IRE),1,Newmarket
Flame Of Kodiac (IRE),1,Newmarket
Flamenco Fan (GB),1,Newmarket
Flaming Lord (GB),1,Doncaster
Flaming Princess (IRE),2,"Doncaster, Newmarket"
Flaming Rib (IRE),1,Doncaster
Flaming Spear (IRE),2,"Doncaster, Newmarket"
Flaming Stone (GB),1,Newmarket
Flash Bardot (GB),2,"Doncaster, Newmarket"
Flash Betty (GB),1,Newmarket
Flash City (ITY),1,Doncaster
Flash Fire (IRE),1,Newmarket
Flash Of Fire (GB),1,Doncaster
Flash Point (IRE),1,Doncaster
Flash The Dash (IRE),1,Doncaster
Flashy Bear (IRE),1,Doncaster
Flashy Flyer (GB),1,Newmarket
Flashy Memories (GB),1,Newmarket
Flashy Snapper (GB),1,Doncaster
Flattering (IRE),1,Doncaster
Flavius Titus (GB),2,"Doncaster, Newmarket"
Flavor (GB),1,Doncaster
Flawed Diamond (FR),1,Doncaster
Fleabiscuit (IRE),1,Newmarket
Fleckerl (IRE),1,Doncaster
Fledermaus (IRE),1,Doncaster
Fleet Review (USA),1,Newmarket
Fleetfoot Jack (IRE),1,Doncaster
Fleeting (IRE),2,"Doncaster, Newmarket"
Fleeting Dream (IRE),1,Doncaster
Fleeting Freedom (GB),2,"Doncaster, Newmarket"
Fleeting Motion (GB),2,"Doncaster, Newmarket"
Fleeting Prince (IRE),2,"Doncaster, Newmarket"
Fleeting Strike (GB),1,Doncaster
Fleeting Vision (IRE),1,Newmarket
Fleeting Visit (GB),1,Newmarket
Fleetwater (GB),1,Newmarket
Fletchers Dream (GB),1,Doncaster
Fletchers Flight (IRE),2,"Doncaster, Newmarket"
Fleur De Mer (IRE),1,Doncaster
Fleur Forsyte (GB),1,Newmarket
Fleurman (IRE),1,Doncaster
Fleursals (GB),2,"Doncaster, Newmarket"
Fleurtille (GB),1,Doncaster
Flexible Flyer (GB),1,Newmarket
Flight (GB),2,"Doncaster, Newmarket"
Flight Alert (IRE),1,Newmarket
Flight Of Fantasy (GB),1,Doncaster
Flight Officer (GB),1,Doncaster
Flight Plan (GB),1,Newmarket
Flint Hill (GB),2,"Doncaster, Newmarket"
Flippa The Strippa (IRE),1,Newmarket
Floating Artist (GB),1,Newmarket
Floating Spirit (GB),1,Newmarket
Floats On Air (GB),1,Doncaster
Flood Defence (IRE),2,"Doncaster, Newmarket"
Flood Warning (GB),1,Doncaster
Flor De La Luna (GB),1,Doncaster
Flora Finch (GB),1,Newmarket
Flora Of Bermuda (IRE),2,"Doncaster, Newmarket"
Floral Splendour (GB),1,Doncaster
Florence Street (GB),1,Newmarket
Florencio (GB),1,Newmarket
Florenza (GB),2,"Doncaster, Newmarket"
Floresta (IRE),1,Doncaster
Florida (IRE),1,Newmarket
Florida Dawn (GB),1,Doncaster
Flos Melody (GB),1,Doncaster
Flotus (IRE),1,Newmarket
Flow (USA),1,Doncaster
Flower Of Dubai (GB),1,Doncaster
Flower Power (GB),1,Doncaster
Flowstate (IRE),1,Doncaster
Fly At Dawn (USA),1,Newmarket
Fly Falcon (IRE),2,"Doncaster, Newmarket"
Fly On Earth (GB),1,Newmarket
Fly Pass (IRE),1,Newmarket
Fly The Flag (GB),1,Newmarket
Fly The Nest (IRE),1,Newmarket
Fly True (GB),1,Doncaster
Flyboy (IRE),2,"Doncaster, Newmarket"
Flyin High (GB),1,Newmarket
Flyin Solo (GB),1,Doncaster
Flying Barty (IRE),1,Newmarket
Flying Bear (IRE),1,Doncaster
Flying Circus (GB),1,Doncaster
Flying Dragon (FR),2,"Doncaster, Newmarket"
Flying Empress (GB),1,Newmarket
Flying Fairy (IRE),1,Newmarket
Flying Fantasy (GB),1,Newmarket
Flying Finn (IRE),1,Doncaster
Flying Fletcher (GB),1,Doncaster
Flying Fortress (GB),1,Newmarket
Flying Foxy (GB),1,Doncaster
Flying Honours (GB),1,Newmarket
Flying Macs (GB),1,Doncaster
Flying North (GB),2,"Doncaster, Newmarket"
Flying Officer (USA),1,Newmarket
Flying Onsite (FR),1,Doncaster
Flying Power (GB),1,Doncaster
Flying Pursuit (GB),2,"Doncaster, Newmarket"
Flying Raconteur (GB),1,Doncaster
Flying Secret (GB),2,"Doncaster, Newmarket"
Flying Spirit (GB),1,Newmarket
Flying Standard (IRE),1,Doncaster
Flying Star (IRE),1,Doncaster
Flying Tiger Hero (IRE),1,Doncaster
Flying West (GB),1,Doncaster
Flylikeaneagle (IRE),1,Newmarket
Flyman (GB),1,Doncaster
Foden (GB),1,Newmarket
Foible (GB),1,Doncaster
Fol OYasmine (GB),1,Newmarket
Folgaria (IRE),1,Doncaster
Folie DAmour (GB),1,Newmarket
Folies Bergeres (GB),1,Doncaster
Folk Dance (GB),2,"Doncaster, Newmarket"
Folk Tale (IRE),1,Newmarket
Folkene (FR),1,Newmarket
Folkswood (GB),1,Newmarket
Follow Your Heart (IRE),1,Doncaster
Folly Bergere (IRE),1,Newmarket
Fondest (GB),1,Doncaster
Fondo Blanco (GB),2,"Doncaster, Newmarket"
Fonteyn (GB),1,Newmarket
Fonzie (GB),1,Doncaster
Fool Again (USA),1,Newmarket
Fool For You (IRE),1,Doncaster
Foolaad (GB),2,"Doncaster, Newmarket"
Fools And Horses (GB),1,Newmarket
Fools Dream (GB),1,Doncaster
Fools Gold (IRE),1,Doncaster
Fools Rush In (IRE),2,"Doncaster, Newmarket"
Fooraat (IRE),1,Newmarket
Footlight (GB),1,Doncaster
Footstepinthewoods (IRE),1,Doncaster
