going_code,numeric_value,description
Firm,1,"Fast, hard ground"
Good to Firm,2,Firm with some give
Good,3,Ideal conditions
Good to Soft,4,Some softness
Soft,5,"Soft, yielding ground"
Heavy,6,"Very soft, slow ground"
Standard,3,All-Weather standard
Standard to Slow,4,AW slightly slower
Slow,5,AW slow conditions
