sire_id,sire,wins,runs,places,turf_pct,avg_dist,avg_class,avg_or,win_rate,place_rate,turf_win_rate,aw_win_rate,surface_preference,sprint_win_rate,mile_win_rate,middle_win_rate,staying_win_rate,best_distance_band,firm_win_rate,good_win_rate,soft_win_rate,heavy_win_rate,class1_win_rate,class2_win_rate,class3_win_rate,class4_win_rate
3618,Indian Ridge (IRE),0,32,10,0.5,9.203125,2.875,88.34375,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sprint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9363,Cadeaux Genereux (GB),5,60,21,0.5166666666666667,10.65,2.5833333333333335,91.33333333333333,0.08333333333333333,0.35,0.06451612903225806,0.10344827586206896,-0.0389321468298109,0.0,0.0,0.10416666666666667,0.12,staying,0.0,0.0851063829787234,0.14285714285714285,0.08333333333333333,0.0,0.125,0.125,0.0
21738,Soviet Star (USA),3,51,14,0.39215686274509803,8.666666666666666,3.4313725490196076,79.88235294117646,0.058823529411764705,0.27450980392156865,0.1,0.03225806451612903,0.06774193548387097,0.0,0.08,0.043478260869565216,0.0,mile,0.0,0.045454545454545456,0.5,0.058823529411764705,0.058823529411764705,0.0,0.06666666666666667,0.06896551724137931
59210,Mujadil (USA),2,34,9,0.9705882352941176,5.338235294117647,2.7058823529411766,88.52941176470588,0.058823529411764705,0.2647058823529412,0.06060606060606061,0.0,0.06060606060606061,0.06060606060606061,0.058823529411764705,0.058823529411764705,0.0,sprint,0.07692307692307693,0.05,0.0,0.058823529411764705,0.07692307692307693,0.0,0.3333333333333333,0.0
60857,Marju (IRE),3,36,7,0.6666666666666666,11.847222222222221,2.5277777777777777,91.82857142857142,0.08333333333333333,0.19444444444444445,0.08333333333333333,0.08333333333333333,0.0,0.0,0.09090909090909091,0.11764705882352941,0.08333333333333333,middle,0.0,0.0967741935483871,0.0,0.08333333333333333,0.14285714285714285,0.0,0.2,0.0
62150,Selkirk (USA),5,61,14,0.8360655737704918,10.073770491803279,3.2131147540983607,81.75,0.08196721311475409,0.22950819672131148,0.09803921568627451,0.0,0.09803921568627451,0.0,0.0,0.11538461538461539,0.15,staying,0.13333333333333333,0.07317073170731707,0.0,0.08196721311475409,0.0,0.0,0.05555555555555555,0.13333333333333333
65710,Paris House (GB),3,45,16,0.8666666666666667,6.133333333333334,3.7555555555555555,77.8,0.06666666666666667,0.35555555555555557,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.06666666666666667,0.06666666666666667,sprint,0.0,0.04,0.2222222222222222,0.0,0.06666666666666667,0.0,0.0,0.08571428571428572
68106,Lomitas (GB),3,25,6,0.92,15.32,2.12,99.4,0.12,0.24,0.13043478260869565,0.0,0.13043478260869565,0.12,0.0,0.0,0.14285714285714285,staying,0.2857142857142857,0.0,0.25,0.12,0.0,0.14285714285714285,1.0,0.0
72922,Barathea (IRE),0,24,5,0.8333333333333334,16.791666666666668,2.8333333333333335,80.08333333333333,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sprint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76009,Hernando (FR),12,148,33,0.7905405405405406,14.128378378378379,2.7162162162162162,87.47297297297297,0.08108108108108109,0.22297297297297297,0.07692307692307693,0.0967741935483871,-0.019851116625310167,0.08108108108108109,0.0,0.0625,0.0967741935483871,staying,0.07142857142857142,0.09615384615384616,0.0,0.0,0.0,0.02127659574468085,0.07142857142857142,0.1951219512195122
78845,Urgent Request (IRE),1,28,9,0.8928571428571429,9.482142857142858,3.8214285714285716,76.39285714285714,0.03571428571428571,0.32142857142857145,0.04,0.0,0.04,0.0,0.1111111111111111,0.043478260869565216,0.03571428571428571,mile,0.0,0.0,0.5,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.043478260869565216
84442,Piccolo (GB),35,512,137,0.740234375,6.099609375,3.3203125,82.15400843881856,0.068359375,0.267578125,0.07387862796833773,0.05263157894736842,0.021247049020969314,0.07158351409978309,0.07446808510638298,0.05555555555555555,0.0,mile,0.06428571428571428,0.06645569620253164,0.08695652173913043,0.1,0.0,0.045871559633027525,0.0989010989010989,0.07023411371237458
84824,Monsun (GER),13,115,40,0.7391304347826086,13.034782608695652,2.643478260869565,91.39285714285714,0.11304347826086956,0.34782608695652173,0.058823529411764705,0.26666666666666666,-0.20784313725490194,0.11304347826086956,0.2,0.14285714285714285,0.12987012987012986,mile,0.12121212121212122,0.1267605633802817,0.0,0.11304347826086956,0.08333333333333333,0.14705882352941177,0.0,0.14634146341463414
85578,Lando (GER),3,24,7,0.5,11.458333333333334,3.0833333333333335,84.16666666666667,0.125,0.2916666666666667,0.25,0.0,0.25,0.125,0.125,0.05,0.2857142857142857,staying,0.0,0.09090909090909091,1.0,0.125,0.125,0.2222222222222222,0.0,0.09090909090909091
87643,Key Of Luck (USA),2,36,8,0.5555555555555556,11.555555555555555,3.361111111111111,80.25,0.05555555555555555,0.2222222222222222,0.05,0.0625,-0.012499999999999997,0.0,0.0,0.07407407407407407,0.05,middle,0.0,0.06896551724137931,0.0,0.05555555555555555,0.05555555555555555,0.0,0.2,0.045454545454545456
87715,Midnight Legend (GB),4,26,8,0.5769230769230769,12.173076923076923,2.8461538461538463,90.42857142857143,0.15384615384615385,0.3076923076923077,0.26666666666666666,0.0,0.26666666666666666,0.15384615384615385,0.0,0.21052631578947367,0.14285714285714285,middle,0.0,0.2,0.0,0.15384615384615385,0.15384615384615385,0.18181818181818182,0.125,0.14285714285714285
90395,Bahri (USA),10,102,29,0.6568627450980392,11.279411764705882,3.803921568627451,74.34736842105264,0.09803921568627451,0.28431372549019607,0.13432835820895522,0.02857142857142857,0.10575692963752666,0.05555555555555555,0.0,0.13157894736842105,0.1206896551724138,middle,0.05555555555555555,0.09722222222222222,0.2222222222222222,0.0,0.09803921568627451,0.0,0.0,0.11904761904761904
94325,Desert Style (IRE),5,33,14,0.7878787878787878,5.9393939393939394,3.727272727272727,79.78787878787878,0.15151515151515152,0.42424242424242425,0.15384615384615385,0.14285714285714285,0.010989010989011005,0.16666666666666666,0.0,0.0,0.15151515151515152,sprint,0.18181818181818182,0.17647058823529413,0.0,0.0,0.15151515151515152,0.0,0.0,0.2
